ID,Nama_Produk,Barcode_SKU,Kategori,Harga_Eceran,Harga_Grosir,Min_Qty_Grosir,Satuan,Stok,Keterangan
sbk-01,Beras Ramos Setra Pulen 5kg,,sembako,74000,72000,5,sak,50,Beras putih pulen wangi kualitas super 5kg
sbk-02,Beras Pandan Wangi Premium 5kg,,sembako,82000,80000,5,sak,35,Beras aroma pandan alami pulen 5kg
sbk-03,Beras Ramos Curah 1kg,,sembako,15000,14500,10,kg,150,Beras timbangan eceran kualitas pulen
sbk-04,Minyak Goreng Minyakita 1L Pouch,,sembako,16500,15500,12,pouch,120,Minyak goreng subsidi pemerintah 1 liter kemasan pouch
sbk-05,Minyak Goreng Bimoli 2L Pouch,,sembako,38500,37000,6,pouch,60,Minyak goreng kelapa sawit murni 2L
sbk-06,Minyak Goreng SunCo 2L Pouch,,sembako,39000,37500,6,pouch,50,Minyak goreng bening tidak beku 2L
sbk-07,Minyak Goreng Tropical 2L Botol,,sembako,40000,38500,6,botol,40,Minyak goreng 2x penyaringan 2 liter botol
sbk-08,Telur Ayam Negeri Fresh 1 Kg,,sembako,29000,27500,10,kg,80,Telur ayam ras segar pilihan (~16 butir per kg)
sbk-09,Gula Pasir Gulaku Tebu Kuning 1kg,,sembako,18500,17500,10,kg,70,Gula tebu murni kemasan kuning 1kg
sbk-10,Gula Pasir GMP Curah 1kg,,sembako,17500,16800,10,kg,100,Gula pasir putih manis timbangan ecer
sbk-11,Gula Merah / Jawa Super 1kg,,sembako,22000,20500,5,kg,40,Gula kelapa aren asli padat legit
sbk-12,Tepung Terigu Segitiga Biru 1kg,,sembako,13000,12200,10,kg,60,Tepung terigu serbaguna Bogasari 1kg
sbk-13,Tepung Terigu Cakra Kembar 1kg,,sembako,14500,13800,10,kg,45,Tepung terigu protein tinggi untuk roti & donat
sbk-14,Tepung Tapioka Rose Brand 500g,,sembako,8000,7500,10,bks,50,Tepung kanji tapioka murni
sbk-15,Tepung Beras Rose Brand 500g,,sembako,8500,7800,10,bks,45,Tepung beras putih murni higienis
mie-01,Indomie Goreng Original 85g,,mie_makanan,3500,3200,5,bks,240,Mie instan goreng legendaris favorit pelanggan
mie-02,Indomie Kuah Soto Mie 70g,,mie_makanan,3500,3200,5,bks,180,Mie kuah rasa soto mie gurih segar
mie-03,Indomie Kuah Ayam Bawang 70g,,mie_makanan,3500,3200,5,bks,150,Mie instan kuah kaldu ayam bawang harum
mie-04,Indomie Kuah Kari Ayam 72g,,mie_makanan,3800,3500,5,bks,120,Mie kuah kuah kental rasa kari ayam spesial
mie-05,Mie Sedaap Goreng Original 90g,,mie_makanan,3500,3200,5,bks,160,Mie goreng kriuk bawang renyah
mie-06,Mie Sedaap Kuah Soto Madura 75g,,mie_makanan,3500,3200,5,bks,140,Mie soto dengan serbuk koya gurih mantap
mie-07,Sarimi Isi 2 Goreng Ayam Kremes,,mie_makanan,4500,4000,5,bks,90,Porsi dobel 2 keping mie goreng kenyang
mie-08,Pop Mie Kuah Ayam Bawang Cup,,mie_makanan,6000,5500,6,cup,60,Mie seduh praktis cup rasa ayam bawang
mie-09,Pop Mie Goreng Pedas Gledek Cup,,mie_makanan,6500,6000,6,cup,50,Mie cup goreng ekstra pedas
mie-10,BihunKu Instan Goreng Spesial 60g,,mie_makanan,4000,3500,5,bks,50,Bihun instan lembut rendah kalori
mie-11,Sarden ABC Saus Tomat 155g (Kaleng Kecil),,mie_makanan,11500,10800,6,kaleng,40,Ikan sarden segar saus tomat siap saji
mie-12,Sarden ABC Saus Cabai 425g (Kaleng Besar),,mie_makanan,26000,24500,4,kaleng,30,Ikan sarden saus cabai pedas mantap porsi keluarga
mie-13,Kornet Sapi Pronas 198g Sachet / Kaleng,,mie_makanan,24000,22500,4,kaleng,25,Daging kornet sapi olahan kualitas utama
mnm-01,Le Minerale Botol Dingin 600ml,,minuman,3500,3000,12,botol,100,Air mineral alami ada manis-manisnya dingin
mnm-02,Le Minerale Botol Dingin 1500ml,,minuman,6500,5800,6,botol,60,Air mineral botol besar 1.5L dingin segar
mnm-03,Aqua Botol Dingin 600ml,,minuman,4000,3500,12,botol,120,Air mineral murni pegunungan 600ml dingin
mnm-04,Aqua Botol Dingin 1500ml,,minuman,7000,6200,6,botol,60,Air mineral botol jumbo 1.5L
mnm-05,Teh Pucuk Harum Dingin 350ml,,minuman,4000,3500,6,botol,80,Teh melati manis segar dari pucuk teh pilihan
mnm-06,Teh Botol Sosro Kotak 250ml,,minuman,3500,3000,12,kotak,60,Teh wangi melati kemasan kotak praktis
mnm-07,Floridina Orange Dingin 350ml,,minuman,3500,3000,12,botol,70,Minuman jus jeruk dengan bulir jeruk asli
mnm-08,Golda Coffee Dolce Latte 200ml,,minuman,3500,3000,12,botol,75,Kopi susu creamy khas Italia dingin
mnm-09,Bear Brand Susu Steril 189ml,,minuman,10500,9800,6,kaleng,50,Susu sapi murni steril 100%
mnm-10,Pocari Sweat Botol Dingin 500ml,,minuman,8000,7500,6,botol,45,Minuman isotonik pengganti ion tubuh
mnm-11,Ultra Milk UHT Cokelat 250ml,,minuman,6500,6000,6,kotak,50,Susu cair segar UHT rasa cokelat
mnm-12,Kopi Kapal Api Spesial Mix (1 Renceng / 10 Sachet),,minuman,15000,14000,5,renceng,50,Kopi bubuk hitam + gula pas mantap
mnm-13,Kopi Good Day Mocacinno (1 Renceng / 10 Sachet),,minuman,16500,15200,5,renceng,45,Kopi instan rasa moka lezat
mnm-14,Kopi Luwak White Koffie (1 Renceng / 10 Sachet),,minuman,15500,14500,5,renceng,40,Kopi putih lembut aman di lambung
mnm-15,Nutrisari Jeruk Peras (1 Renceng / 10 Sachet),,minuman,13000,12000,5,renceng,40,Serbuk minuman sari buah jeruk bervitamin C
bmb-01,Kecap Manis Bango Refill 520ml,,bumbu,24500,23000,6,pouch,40,Kecap manis kedelai hitam Mallika kental gurih
bmb-02,Kecap Manis ABC Refill 520ml,,bumbu,20000,18800,6,pouch,35,Kecap manis kedelai mantap kemasan refill
bmb-03,Royco Rasa Ayam (1 Renceng / 12 Sachet),,bumbu,6000,5500,5,renceng,60,Bumbu penyedap rasa kaldu ayam lezat
bmb-04,Masako Rasa Sapi (1 Renceng / 12 Sachet),,bumbu,6000,5500,5,renceng,50,Bumbu ekstrak daging sapi gurih
bmb-05,Santan Kelapa Siap Pakai Kara 65ml,,bumbu,3500,3200,10,pcs,90,Santan kelapa murni kental higienis segitiga
bmb-06,Saori Saus Tiram 133ml Botol,,bumbu,12000,11200,6,botol,30,Saus tiram gurih oriental untuk tumisan
bmb-07,Ladaku Merica Bubuk (1 Renceng / 12 Sachet),,bumbu,12000,11000,5,renceng,40,Merica putih murni 100% harum pedas
bmb-08,Garam Dapur Beryodium Cap Kapal 250g,,bumbu,3000,2500,10,bks,80,Garam meja beryodium putih bersih
bmb-09,Terasi Udang ABC (1 Pack / 20 Pcs),,bumbu,12000,11000,5,pack,35,Terasi udang rebon asli untuk sambal mantap
rkk-01,Gudang Garam Surya 16 Bungkus,,rokok,36500,355000,10,bks,120,Rokok filter GG Surya isi 16 batang
rkk-02,Sampoerna A Mild 16 Bungkus,,rokok,35500,345000,10,bks,100,Rokok mild kretek isi 16 batang
rkk-03,Djarum Super 12 Bungkus,,rokok,25500,248000,10,bks,90,Rokok kretek filter Djarum isi 12
rkk-04,Marlboro Filter Red 20 Bungkus,,rokok,46000,450000,10,bks,50,Rokok putih impor Marlboro Merah 20
rkk-05,Marlboro Filter Black 20 Bungkus,,rokok,45000,440000,10,bks,50,Rokok kretek filter rasa halus hitam isi 20
rkk-06,Esse Change Double 20 Bungkus,,rokok,44000,430000,10,bks,40,Rokok kapsul ganda rasa segar buah & mint
rkk-07,Camel Yellow Filter 20 Bungkus,,rokok,32000,310000,10,bks,40,Rokok Camel kuning filter isi 20
rkk-08,Dji Sam Soe 234 Kuning 12 Batang,,rokok,22000,212000,10,bks,70,Rokok kretek tanpa filter legendaris 234
rkk-09,LA Bold 20 Bungkus,,rokok,34000,330000,10,bks,60,Rokok kretek filter rasa mantap LA Bold
rkk-10,Djarum 76 Filter Gold 12,,rokok,18000,172000,10,bks,50,Rokok kretek aroma khas Nusantara
sbn-01,Sabun Cuci Piring Sunlight Jeruk Nipis 650ml,,sabun_rumah,14500,13500,6,pouch,50,Cairan pencuci piring ekstrak jeruk nipis 100x bersihkan lemak
sbn-02,Sabun Cuci Piring Mama Lemon 680ml,,sabun_rumah,13500,12500,6,pouch,45,Sabun cuci piring lemon segar antibakteri
sbn-03,Deterjen Bubuk Daia Bunga 850g,,sabun_rumah,19000,18000,6,bks,40,Deterjen pembersih pakaian dengan wangi semerbak bunga
sbn-04,Deterjen Bubuk Rinso Molto Anti Noda 770g,,sabun_rumah,26000,24500,6,bks,35,Deterjen konsentrat hilangkan noda dalam 1x kucek
sbn-05,SoKlin Liquid Deterjen Cair 750ml Pouch,,sabun_rumah,18500,17500,6,pouch,35,Deterjen cair konsentrat harum tahan lama
sbn-06,Pewangi Pakaian Downy Mystique Refill 650ml,,sabun_rumah,28000,26500,4,pouch,25,Pelembut & pewangi pakaian aroma parfum mewah
sbn-07,Sabun Mandi Batang Lifebuoy Total 10 (4x85g),,sabun_rumah,16500,15500,6,pack,40,Sabun perlindungan kuman dan bakteri 4 batang
sbn-08,Sabun Mandi Cair Dettol Pouch 410ml,,sabun_rumah,27500,25500,4,pouch,30,Sabun cair antiseptik perlindungan kulit higienis
sbn-09,Pasta Gigi Pepsodent White 190g,,sabun_rumah,14500,13500,6,pcs,50,Pasta gigi perlindungan gigi berlubang 190g
sbn-10,Obat Nyamuk Semprot Baygon 600ml Kaleng,,sabun_rumah,39000,37000,4,kaleng,25,Aerosol pembasmi nyamuk dan serangga aroma citrus
gas-01,Isi Ulang Gas LPG 3 Kg (Melon),,gas_galon,22000,21000,5,tabung,40,Tukar tabung isi ulang gas elpiji 3kg bersubsidi
gas-02,Isi Ulang Gas Bright Gas 5.5 Kg,,gas_galon,95000,92000,3,tabung,15,Tukar isi ulang tabung gas Bright Gas 5.5kg nonsubsidi
gas-03,Isi Ulang Gas Bright Gas 12 Kg,,gas_galon,215000,210000,2,tabung,10,Tukar isi ulang tabung gas Bright Gas 12kg jumbo
gas-04,Isi Ulang Galon Aqua 19 Liter Asli Segel,,gas_galon,20000,19000,5,galon,35,Tukar galon air mineral Aqua 19 liter tutup segel asli
gas-05,Isi Ulang Galon Le Minerale 15 Liter,,gas_galon,18500,17500,5,galon,30,Galon Le Minerale 15L bebas BPA sekali pakai/tukar
gas-06,Isi Ulang Galon Cleo 19 Liter,,gas_galon,18000,17000,5,galon,25,Air murni Cleo galon 19L tutup segel
